maker,model,mileage,manufacture_year,engine_displacement,engine_power,body_type,color_slug,stk_year,transmission,door_count,seat_count,fuel_type,date_created,date_last_seen,price_eur
ford,galaxy,151000,2011.0,2000,103.0,,,,man,5,7,diesel,2015-11-14 18:10:06,2016-01-27 20:40:15,10584.75
skoda,octavia,143476,2012.0,2000,81.0,,,,man,5,5,diesel,2015-11-14 18:10:06,2016-01-27 20:40:15,8882.31
bmw,,97676,2010.0,1995,85.0,,,,man,5,5,diesel,2015-11-14 18:10:06,2016-01-27 20:40:15,12065.06
skoda,fabia,111970,2004.0,1200,47.0,,,,man,5,5,gasoline,2015-11-14 18:10:06,2016-01-27 20:40:15,2960.77
skoda,fabia,128886,2004.0,1200,47.0,,,,man,5,5,gasoline,2015-11-14 18:10:06,2016-01-27 20:40:15,2738.71
skoda,fabia,140932,2003.0,1200,40.0,,,,man,5,5,gasoline,2015-11-14 18:10:06,2016-01-27 20:40:15,1628.42
skoda,fabia,167220,2001.0,1400,74.0,,,,man,5,5,gasoline,2015-11-14 18:10:06,2016-01-27 20:40:15,2072.54
bmw,,148500,2009.0,2000,130.0,,,,auto,5,5,diesel,2015-11-14 18:10:06,2016-01-27 20:40:15,10547.74
skoda,octavia,105389,2003.0,1900,81.0,,,,man,5,5,diesel,2015-11-14 18:10:06,2016-01-27 20:40:15,4293.12
,,301381,2002.0,1900,88.0,,,,man,5,5,diesel,2015-11-14 18:10:06,2016-01-27 20:40:15,1332.35
,,202136,2002.0,1400,55.0,,,,man,5,5,gasoline,2015-11-14 18:10:06,2016-01-27 20:40:15,740.19
,,263840,1998.0,1900,81.0,,,,man,5,5,diesel,2015-11-14 18:10:06,2016-01-27 20:40:15,999.26
,,105394,2000.0,1360,55.0,,,,man,3,5,gasoline,2015-11-14 18:10:07,2016-01-27 20:40:15,1665.43
skoda,favorit,41250,1990.0,1300,44.0,,,,man,5,5,gasoline,2015-11-14 18:10:07,2016-01-27 20:40:15,370.1
suzuki,swift,122100,2003.0,1000,39.0,,,,man,5,5,gasoline,2015-11-14 18:10:07,2016-01-27 20:40:15,999.26
nissan,x-trail,149465,2005.0,2500,121.0,,,,auto,5,5,gasoline,2015-11-14 18:10:07,2016-01-27 20:40:15,4811.25
,,115879,2003.0,1900,88.0,,,,man,5,5,diesel,2015-11-14 18:10:07,2016-01-27 20:40:15,2220.58
opel,astra,316054,2005.0,1700,74.0,,,,man,5,5,diesel,2015-11-14 18:10:07,2016-01-27 20:40:15,2331.61
skoda,superb,269398,2005.0,1900,96.0,,,,man,4,5,diesel,2015-11-14 18:10:07,2016-01-27 20:40:15,4663.21
skoda,fabia,87257,2008.0,1200,44.0,,,,man,5,5,gasoline,2015-11-14 18:10:07,2016-01-27 20:40:15,4219.1
skoda,fabia,130340,2001.0,1400,50.0,,,,man,5,5,gasoline,2015-11-14 18:10:07,2016-01-27 20:40:15,2442.64
ford,focus,227415,2002.0,1800,85.0,,,,man,5,5,diesel,2015-11-14 18:10:07,2016-01-27 20:40:15,2146.56
